NewID,TotalYearsGiven,TotalDonations,FirstYear,LastYear,MultiyearGiver,DecemberGivings,YearsSinceLastGift,Most_recent_year_given,Frequency_score,AverageDonationPerYear,Gender,Age,State,AgeGroup
100063357,20,1761,1997,2016,1,0.526315789,0,2016,2.612262498,92.68421053,Unknown,55,TX,50-59
100370125,9,1758,2008,2016,1,0.111111111,0,2016,0.422874799,195.3333333,Unknown,84,FL,80-89
101058563,6,1720,2011,2016,1,0,0,2016,2.81197016,286.6666667,Male,73,MN,70-79
100332184,19,1710,1995,2013,1,0.222222222,3,2013,1.500309962,190,Female,63,TX,60-69
100141337,6,1705,2002,2007,1,0.333333333,9,2007,-0.209532796,284.1666667,Male,71,ME,70-79
100395797,10,1690,2007,2016,1,0.444444444,0,2016,1.68768999,187.7777778,Female,74,FL,70-79
100927067,11,1677,2006,2016,1,0.625,0,2016,2.495766362,209.625,Unknown,41,NY,40-49
100226597,12,1665,2004,2015,1,0.5,1,2015,-0.139265286,138.75,Unknown,81,OR,80-89
100153057,9,1661,2002,2010,1,0.555555556,6,2010,1.125549905,184.5555556,Male,45,CA,40-49
100118579,16,1640,2000,2015,1,0.2,1,2015,-0.223586298,328,Male,51,FL,50-59
100526484,8,1634,2008,2015,1,0.75,1,2015,2.337664463,204.25,Female,71,KS,70-79
100956873,7,1610,2010,2016,1,0.285714286,0,2016,1.30623779,230,Female,49,CA,40-49
101357828,6,1610,1999,2004,1,0.666666667,12,2004,0.914747374,268.3333333,Female,76,FL,70-79
100459969,10,1590,1998,2007,1,0.25,9,2007,0.49314231,397.5,Unknown,69,KY,60-69
100567412,9,1558,2008,2016,1,0.444444444,0,2016,2.952505181,173.1111111,Unknown,83,NJ,80-89
100786682,4,1485,2009,2012,1,0,4,2012,-0.139265286,371.25,Male,68,WA,60-69
101246093,4,1478,2013,2016,1,0.25,0,2016,2.706568894,369.5,Female,69,OH,60-69
100976818,3,1450,2013,2015,1,0,1,2015,-0.279800307,483.3333333,Unknown,92,TX,90-99
100008415,14,1435,2003,2016,1,0.6,0,2016,2.179562565,143.5,Female,58,TX,50-59
101518286,8,1425,2009,2016,1,0.714285714,0,2016,3.414263108,203.5714286,Unknown,59,AL,50-59
100168390,20,1419,1995,2014,1,0.181818182,2,2014,0.512306176,129,Male,25,WA,20-29
100915710,7,1410,2010,2016,1,0.333333333,0,2016,0.774212352,235,Unknown,80,CA,70-79
100211419,12,1393,2003,2014,1,0.222222222,2,2014,1.547154969,154.7777778,Unknown,66,PA,60-69
100000450,27,1389,1988,2014,1,0.130434783,2,2014,0.557299602,60.39130435,Unknown,67,CA,60-69
100241187,19,1376,1992,2010,1,0.222222222,6,2010,0.516564813,152.8888889,Male,33,AZ,30-39
100414828,12,1365,2005,2016,1,0.222222222,0,2016,1.125549905,151.6666667,Unknown,87,OH,80-89
100929052,7,1350,2010,2016,1,0.142857143,0,2016,0.282339778,192.8571429,Unknown,63,FL,60-69
100448689,3,1341.72,2013,2015,1,0.333333333,1,2015,0.56340982,447.24,Female,82,NA,80-89
101522110,7,1333,2010,2016,1,0.428571429,0,2016,0.523256957,190.4285714,Unknown,45,MN,40-49
100652729,8,1312,2009,2016,1,0.625,0,2016,1.547154969,164,Female,68,OH,60-69
100648204,2,1300,2011,2012,1,0,4,2012,-0.350067818,650,Female,65,LA,60-69
100157844,2,1289.56,2015,2016,1,0.5,0,2016,2.81197016,644.78,Unknown,80,DC,70-79
100058625,21,1285,1996,2016,1,0.133333333,0,2016,0.198018765,85.66666667,Female,66,NY,60-69
101357831,26,1270,1988,2013,1,0.090909091,3,2013,-0.522542616,115.4545455,Unknown,59,WA,50-59
101556263,7,1270,2006,2012,1,0.333333333,4,2012,1.266084927,423.3333333,Male,63,PA,60-69
100219317,9,1260,2004,2012,1,0.125,4,2012,0.229639145,157.5,Unknown,64,TN,60-69
100804953,4,1250,2013,2016,1,0.25,0,2016,-0.139265286,312.5,Male,54,TX,50-59
100255434,13,1247,2004,2016,1,0.6,0,2016,2.854130666,124.7,Unknown,58,CO,50-59
101362854,27,1240,1981,2007,1,0.285714286,9,2007,0.071537246,88.57142857,Male,39,TN,30-39
